ip,port,is_standard_port,ttl,window_size,ip_id_behavior,tcp_options_order,jitter,kernel_latency,handshake_delay,app_processing_time,latency_ratio,banner_length,has_keyword,ssh_version_major,os_family_linux,os_family_bsd,os_family_windows,deviation_flag,label
202.157.185.99,2222,0,64,65535,1,1,0.019764168774999875,0.20713955700193765,0.366066091999528,0.15892653499759035,1.7672,38,0,9.2,1,0,0,1,1
103.19.110.148,22,1,64,65535,1,1,0.03185779988423416,0.4596066689991858,0.7922122110030614,0.3326055420038756,1.7237,37,0,6.0,1,0,0,1,1
103.19.110.148,2222,0,64,65535,1,1,0.01831475152918052,0.4697723830031464,0.7047093020009925,0.23493691899784608,1.5001,43,0,6.6,1,0,0,1,1
127.0.0.1,2222,0,64,65495,0,1,2.2283785593108293e-05,3.280199598520994e-05,0.0010931670040008612,0.0010603650080156513,33.3262,38,0,9.2,1,0,0,1,1
192.168.56.109,22,1,64,29200,0,1,9.385178827688567e-05,0.0003887330021825619,0.004949512003804557,0.004560779001621995,12.7324,39,0,7.2,1,0,0,1,0
35.235.126.180,22,1,64,65535,1,1,0.013025155140363134,0.1661180890077958,0.3310156240040669,0.16489753499627113,1.9927,19,0,9.9,0,0,0,1,0
128.95.176.96,22,1,64,65535,1,1,0.0027770624889770002,0.16981114400550723,0.3533111110009486,0.18349996699544135,2.0806,38,0,9.2,1,0,0,1,0
45.92.110.16,22,1,64,65535,1,1,0.004715677011964186,0.028627216001041234,0.05737630499061197,0.028749088989570737,2.0043,19,0,7.4,0,0,0,1,0
213.41.103.171,22,1,64,65535,1,1,0.008255739805889912,0.0238471790071344,0.07047607000276912,0.04662889099563472,2.9553,38,0,9.2,1,0,0,1,0
94.125.163.23,22,1,64,65535,1,1,0.0015348234184312803,0.02412555798946414,0.05170860901125707,0.027583051021792926,2.1433,19,0,9.9,0,0,0,1,0
213.41.227.171,22,1,64,65535,1,1,0.0020744286113648577,0.04047957500733901,0.08305738400667906,0.04257780899934005,2.0518,13,0,0.0,0,0,0,1,0
91.134.91.78,22,1,64,65535,1,1,0.002923760790295804,0.022753650999902675,0.041472261000080834,0.01871861000017816,1.8227,16,1,0.0,0,0,0,1,1
91.134.91.78,2222,0,64,65535,1,1,0.0010509168111220752,0.021647909999956028,0.05605611099986163,0.0344082009999056,2.5894,39,0,10.0,1,0,0,1,1
90.232.75.17,2222,0,64,65535,1,1,0.003183445781401152,0.07936916499988911,0.2768646340000487,0.19749546900015957,3.4883,38,0,9.2,1,0,0,1,1
46.8.220.98,22,1,64,65535,1,1,0.0005156049689110762,0.06593930799999725,0.1364652559998376,0.07052594799984035,2.0696,40,0,8.9,1,0,0,1,1
46.8.220.98,2222,0,64,65535,1,1,0.000753939200262641,0.0658545660000982,0.13682190999998056,0.07096734399988236,2.0776,38,0,9.2,1,0,0,1,1
127.0.0.1,2222,0,64,65495,0,1,0.00014677969154521116,7.791000007273396e-05,0.005139679000421893,0.005061769000349159,65.9694,38,0,9.2,1,0,0,1,1
127.0.0.1,2222,0,64,65495,0,1,3.717054820509233e-05,1.5227999938360881e-05,0.003039964999516087,0.0030247369995777262,199.63,38,0,9.2,1,0,0,1,1
127.0.0.1,2222,0,64,65495,0,1,8.191086016303426e-05,4.15620006606332e-05,0.003982130000622419,0.003940567999961786,95.8118,38,0,9.2,1,0,0,1,1
8.140.27.27,2222,0,64,65535,1,1,0.03582373445001962,0.2036363839997648,0.3577713990007396,0.15413501500097482,1.7569,38,0,9.2,1,0,0,1,1
46.8.220.98,22,1,64,65535,1,1,0.0007667815344555367,0.06720517200028553,0.13865030399938405,0.07144513199909852,2.0631,40,0,8.9,1,0,0,1,1
46.8.220.98,2222,0,64,65535,1,1,0.002022449094133876,0.06600864499978343,0.13905916899966542,0.07305052399988199,2.1067,38,0,9.2,1,0,0,1,1
95.217.4.124,2222,0,64,65535,1,1,0.031778778745516975,0.049310721999972884,0.12378226000055292,0.07447153800058004,2.5103,38,0,9.2,1,0,0,1,1
